appellationlibelle,codeNAF,competences,contact,dateActualisation,dateCreation,deplacementCode,deplacementLibelle,description,dureeTravailLibelle,dureeTravailLibelleConverti,entreprise,experienceExige,experienceLibelle,formations,id,intitule,lieuTravail,natureContrat,nombrePostes,offresManqueCandidats,origineOffre,qualificationCode,qualificationLibelle,romeCode,romeLibelle,salaire,secteurActivite,secteurActiviteLibelle,typeContrat,typeContratLibelle
Auxiliaire de vie,88.10A,"Effectuer les courses d'une personne, Entretenir le linge, Accompagner une personne lors d'un déplacement, Accompagner le développement de l'autonomie d'une personne, Prodiguer des soins corporels et esthétiques, Surveiller l'état de santé d'une personne, Entretenir, nettoyer un espace, un lieu, un local, Accueillir, orienter, informer une personne, Aider des personnes dans leur cadre de vie, Aider une personne à s'habiller, Réaliser et aider à la prise des repas","{'nom': 'APEF SERVICES - Mme Maud FAUCOURT', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVK', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVK'}",2023-10-11T09:53:32.000Z,2023-10-11T09:53:30.000Z,4,Quotidiens Zone départementale,"Avoir envie de prendre soin des autres, avoir un job qui compte et qui a du SENS et contribuer au bien-être des personnes à leur domicile, avoir un planning adapté à votre vie personnelle, des horaires flexibles et un métier reconnu d'utilité publique par 96% des français, c'est tout cela que nous vous proposons !

Travailler à l'APEF de Ribécourt c'est rejoindre une structure proche de chez vous et proche de vous, pour un emploi durable, où votre épanouissement personnel et professionnel importe beaucoup, c'est aussi semer de belles valeurs, pour faire pousser de grands projets, et voir éclore le bonheur autour de vous !

Nous recherchons pour nos clients situés autour de Ribécourt-Dreslincourt un(e) auxiliaire de vie qui saura intervenir en toute autonomie au domicile d'un public fragile, afin d'apporter du bien-être aux personnes, dans les actes de la vie quotidienne :

- aide aux gestes de la vie quotidienne (aide à la toilette, aide à l'habillage, préparation des repas, aide aux transferts),

- échanges, jeux et autres activités de stimulation,

- entretien et désinfection du logement

- accompagnement de la personne pour des déplacements (rv médical, courses...)

Nous recrutons des auxiliaires de vie sur le secteur de Ribécourt,, Cambronne et Thourotte
Paiement de 100% des km professionnels

Vous êtes titulaire d'un diplôme du secteur DEAVS, ADVF, BP ASSP, BEP CSS ou justifiez d'une expérience significative auprès de personnes âgées ou en situation de handicap (une prise de référence sera faite)

Avantages :
 Prime (parrainage de clients, recommandation à de nouveaux salariés)
 Formation en interne et tutorat au démarrage
 Equipement fourni
 Maintien de salaire
 Planning en fonction de vos disponibilités
 Mutuelle individuelle",25H Travail en journée,Temps partiel,"{'nom': 'APEF SERVICES', 'description': ""Fort de 25 années d'expérience, le réseau compte aujourd'hui une centaine d'agences franchisées et succursales en France. Le réseau APEF Services propose une gamme de plus de 20 prestations réalisées par des professionnels régulièrement formés : Services pour la famille (garde d'enfants, soutien scolaire), Services pour la vie quotidienne (ménage,repassage, bricolage, jardinage), Services pour les personnes dépendantes (seniors et personnes handicapées)."", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/9a9qOCDuc4AjWCcfj4xrRNWIHB0Hklmv.png', 'url': 'http://www.apef.fr', 'entrepriseAdaptee': False}",E,6 mois,"CAP, BEP et équivalents",163BSVK,Auxiliaire de vie - SECTEUR RIBECOURT/THOUROTTE (H/F),60 - RIBECOURT DRESLINCOURT,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVK'}",6,Employé qualifié,K1302,Assistance auprès d'adultes,"Horaire de 11,80 Euros à 12,00 Euros",88,Aide à domicile,CDI,Contrat à durée indéterminée
Cariste,78.20Z,"Charger, décharger, manutentionner des produits","{'coordonnees1': 'http://app.mytalentplug.com/redirection.aspx?ojid=S25TJSnkMC57B72KPpJXhg==', 'urlPostulation': 'http://app.mytalentplug.com/redirection.aspx?ojid=S25TJSnkMC57B72KPpJXhg=='}",2023-10-11T09:53:31.000Z,2023-10-11T09:53:29.000Z,,,"STEF, anciennement STEF-TFE, est une entreprise de logistique sous température dirigée, spécialisée dans le transport et la logistique du froid pour tous les produits agroalimentaires et thermosensibles. Elle emploie 19 000 salariés dans 8 pays européens Nous recherchons un(e) agent de quai CACES 1 surgelés (-22°) avec ou sans expériences.
Equipements contre le froid fourni (gants, pantalons, cache nez...)
Horaires : 16h-00h du lundi au vendredi 
La mission consiste à :
- Déchargement / chargement des camions avec le transpalette
- Gerber, flasher, filmer , étiqueter...

Taux horaire fixe + prime de froid + panier + prime de productivité Réaliser un prélèvement - Préparer une commande  - Réaliser une opération logistique - Approvisionner une ligne de production - Réaliser un inventaire - Déplacer des charges avec un engin - Modalités de chargement / déchargement de marchandises - Procédures d'entretien d'engins de manutention - Techniques d'inventaire - Utilisation d'engins de manutention non motorisés (transpalette, diable...) - Règles et consignes de sécurité - Gestes et postures de manutention - Utiliser un engin nécessitant une habilitation

Dynamisme - Capacité à respecter les délais - Autonomie - Fiabilité - Disponibilité - Méthode - Polyvalence
Vos avantages Synergie:
+10% IFM + 10% CP,
CSE Synergie,
Prime Participation + CET à 6%,
Aides et Services (Mutuelle - Logement - Garde d'enfants...)",35H Travail en horaires fractionnés,Temps plein,"{'nom': 'SYNERGIE', 'entrepriseAdaptee': False}",E,1 an,,163BSVH,Cariste F/H (H/F),31 - CASTELNAU D ESTRETEFONDS,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVH'}",6,Employé qualifié,N1101,Conduite d'engins de déplacement des charges,"Annuel de 20967,00 Euros à 25000,00 Euros sur 12 mois",78,Activités des agences de travail temporaire,MIS,Mission intérimaire - 6 Mois
Chef d'équipe électricien,43.21A,"Réaliser et poser des chemins de câbles et des conduits électriques en apparent ou en encastré, Contrôler l'état d'avancement des travaux, Communiquer à l'oral en milieu professionnel, Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE), Transmettre de l'information, Mettre en place de petits appareillages B.T. tels que prises de courant, appareils d'éclairage, de commande, de coupure, de chauffage, Réaliser des prises terre et effectuer la mise à la terre afin de respecter les normes de sécurité, Tirer les câbles courants et spécifiques",{},2023-10-11T09:53:27.000Z,2023-10-11T09:53:25.000Z,3,Fréquents Zone départementale,"Poste : Chef d'équipe électricien
             Ouvrier qualifié Niveau 2

Habilitations Electriques OBLIGATOIRE

Poste CDI - Période d'essai de 3 mois renouvelable 1 fois

Véhicule de service / Carte Essence et péage  à disposition",39H Travail en journée,Temps plein,{'entrepriseAdaptee': False},E,36 mois,,163BSVG,Chef d'équipe Electricien (H/F),10 - TROYES,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVG'}",3,"Ouvrier qualifié (P1,P2)",F1602,Électricité bâtiment,"Mensuel de 1977,40 Euros à 2000,00 Euros sur 12 mois",43,Travaux d'installation électrique dans tous locaux,CDI,Contrat à durée indéterminée
Aide ménager / ménagère à domicile,96.09Z,"Règles d'hygiène et de propreté, Dépoussiérer les sols, les tapis, les meubles, les objets et aérer, désodoriser les pièces, Contrôler l'état des stocks, Entretenir le linge, Entretenir, nettoyer un espace, un lieu, un local",{},2023-10-11T09:54:45.000Z,2023-10-11T09:53:25.000Z,,,"En tant qu'assistant(e) ménager(ère), vous contribuerez au bien-être des clients en les accompagnant dans l'entretien quotidien de leurs foyers. 

Vos missions seront les suivantes :
- le nettoyage, ménage et l'entretien des différentes pièces du logement,
- la préparation de repas simples...

Vous travaillerez du lundi au vendredi.

Une immersion préalable au recrutement 2 jours pourra être mise en place en amont du recrutement en fonction du profil du candidat et de son expérience.",20H Travail en horaires fractionnés,Temps partiel,"{'nom': 'APEF SERVICES', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BSVF,Aide ménager / ménagère à domicile (H/F),76 - LE HAVRE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVF'}",5,Employé non qualifié,K1304,Services domestiques,"Horaire de 11,52 Euros",96,Autres services personnels n.c.a.,CDI,Contrat à durée indéterminée
Peintre industriel / industrielle,25.99B,"Règles d'hygiène et de sécurité, Indicateurs de suivi de production, Préparer le produit (quantité, teinte, mélange, ...) et régler l'équipement d'application, Contrôler la surface (dépôt, aspect, épaisseur), identifier les non-conformités et réaliser les retouches, reprises de finition, Contrôler l'état des stocks, Effectuer la maintenance de premier niveau des outillages et des équipements, Comprendre, interpréter des données et documents techniques, Peindre des surfaces et supports visuels",{},2023-10-11T09:53:24.000Z,2023-10-11T09:53:22.000Z,1,Jamais,"A partir de procédures de fabrication définies par l'entreprise, réaliser des travaux de traitement et de laquage des différents produits en respectant les différentes étapes nécessaires à l'obtention de produits finis ou semi-finis.
 A ce titre, vous devrez :
-	Préparer, manutentionner, et transférer la matière vers la chaine de laquage adéquate.
-	Réaliser des travaux de traitement et de laquage des différents produits.
-	Sélectionner les réglages prédéfinis pour les outils de laquage.
-	Nettoyer sa cabine et suivre son stock.",35H Travail en journée,Temps plein,"{'nom': 'DANI-ALU', 'entrepriseAdaptee': False}",D,Débutant accepté,"CAP, BEP et équivalents",163BSVD,Peintre industriel / industrielle     (H/F),69 - STE CONSORCE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVD'}",4,"Ouvrier qualifié (P3,P4,OHQ)",H3404,Peinture industrielle,"Mensuel de 1900,00 Euros sur 13 mois",25,Fabrication d'autres articles métalliques,CDI,Contrat à durée indéterminée
Ouvrier viticole / Ouvrière viticole,01.21Z,"Techniques de soins aux arbres ou ceps, Techniques de taille de fructification, Techniques d'ébourgeonnage, Techniques d'effeuillage, Entretenir un arbre, une plantation","{'nom': 'Domaine les Croix - M. Gaspard BROCHET', 'coordonnees1': 'Tél. : 0678686004', 'telephone': '0678686004'}",2023-10-11T09:55:07.000Z,2023-10-11T09:53:21.000Z,,,"Nous recherchons un ouvrier viticole (H/F) sur le secteur d'Ecueil.

Vos missions: 
- Travaux de cave (dégorgement, tirage, habillage...)
- Travaux viticole (taille, palissage, ébourgeonnage...)

Vous possédez idéalement le diplôme de taille.

Vous devez posséder le permis B pour vous déplacer sur les différentes parcelles avec le véhicule de l'établissement.

***PRISE DE POSTE IMMEDIATE***",35H Travail en journée,Temps plein,"{'nom': 'Domaine les Croix', 'entrepriseAdaptee': False}",E,2 ans - sur le même type de poste,,163BSVC,Ouvrier viticole / Ouvrière viticole,51 - ECUEIL,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVC'}",3,"Ouvrier qualifié (P1,P2)",A1405,Arboriculture et viticulture,"Horaire de 13,00 Euros",01,Culture de la vigne,CDI,Contrat à durée indéterminée
Concepteur / Conceptrice de produits touristiques,70.22Z,"Concevoir un voyage à la carte, Contrôler la réalisation et les coûts d’une prestation , Identifier et sélectionner des fournisseurs, sous-traitants, prestataires, Négocier un contrat","{'nom': 'ELYSEE CONCEPT - M. Guy Guérin', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVB', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVB'}",2023-10-11T09:53:25.000Z,2023-10-11T09:53:20.000Z,,,"Nous vous proposons de créer votre CONCIERGERIE pour LOCATIONS de STANDING dans les régions touristiques. Créez votre entreprise sur ce segment de marché en forte croissance. L'activité de notre concept de conciergerie est d'apporter des services sur-mesure pour préparer les villas, chalets et appartements pour les vacanciers et les propriétaires. L'un des leaders en France sur ce segment d'activité développe son réseau de conciergeries dans votre région. Cette offre intéresse les personnes qui souhaitent créer leur propre agence sur ce secteur d'activité. L'enseigne vous propose un contrat de franchise (droit d'entrée 18 K€, durée du contrat 7 ans, renouvelable par tacite reconduction) assure une formation complète et apporte une assistance permanente en cours d'exploitation de votre conciergerie. Cette offre est une proposition de création d'agence indépendante franchisée et non une offre d'emploi salariée.
Nous vous proposons bien de CREER votre propre CONCIERGERIE en bénéficiant du réel savoir-faire du réseau que nous développons. Le concept propose une offre globale comprenant toutes les prestations de conciergerie de standing. Le partenariat proposé est un atout dans la réussite de votre entreprise. Ce projet vous permet de changer de vie en vous positionnant sur un secteur porteur. CREATION d'une agence",,,"{'nom': 'ELYSEE CONCEPT', 'url': 'http://www.managerial.fr', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BSVB,Gérant d'une agence de CONCIERGERIE en zone touristique (H/F),83 - HYERES,Emploi non salarié,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSVB'}",9,Cadre,G1301,Conception de produits touristiques,,70,Conseil pour les affaires et autres conseils de gestion,FRA,Franchise
Technicien / Technicienne en électroménager,47.54Z,"Changer ou réparer une pièce ou un ensemble défectueux, Localiser la panne ou la défaillance par des contrôles, des tests et des mesures, Identifier les composants et les pièces défectueuses, Monter et régler une installation, une machine, Réparer un équipement, une machine, une installation","{'nom': 'Pôle Emploi SAINT VINCENT DE TYROSSE', 'coordonnees1': '2 ALLEE des Pyrénées', 'coordonnees2': '40230 ST VINCENT DE TYROSSE', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTZ'}",2023-10-11T10:05:20.000Z,2023-10-11T09:53:19.000Z,3,Fréquents Zone départementale,"Vous assistez l'équipe administrative et commerciale pour l'ensemble de la partie technique de produits et services dans l'informatique et l'électroménager.

De niveau Bac pro SEN ou équivalent ou d'une formation dans le secteur électroménager, vous êtes polyvalent(e), organisé(e), rigoureux(euse), aimez communiquer et disposez d'une sensibilité technique et d'un sens poussé du service client.

Vous êtes volontaire et prêt(e) à vous intégrer au sein d'une petite équipe, vous savez faire preuve d'autonomie, avec une bonne expression orale et écrite ainsi que le sens de l'initiative et justifiez d'un première expérience dans un environnement technique.

Vos missions seront les suivantes :

- Assurer l'installation et la configuration d'un équipement électroménager, multimédia, téléviseur et informatique
- Réaliser un diagnostic d'appareils électroménagers, multimédia, téléviseur et informatique
- Effectuer une réparation sur un produit électroménager, multimédia, téléviseur

De bonnes connaissances en informatique sont un plus.",28H Travail en journée,Temps partiel,"{'nom': 'PULSAT', 'entrepriseAdaptee': False}",E,1 an - domaine technique,Bac ou équivalent,163BSTZ,Technicien(e) de maintenance électroménager / Antenne (H/F),40 - CAPBRETON,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTZ'}",7,Technicien,I1402,Réparation de biens électrodomestiques et multimédia,"Annuel de 18462,00 Euros à 23077,00 Euros sur 12 mois",47,Commerce de détail d'appareils électroménagers en magasin spécialisé,CDI,Contrat à durée indéterminée
Ingénieur / Ingénieure d'études constructions métalliques,70.22Z,"Analyser les données d'une étude, d'un projet, Recueillir et analyser les besoins client, Concevoir et gérer un projet","{'nom': 'APPROACH PEOPLE RECRUITMENT - Mme Héloïse Rohr-Defaix', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTY', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTY'}",2023-10-11T09:53:20.000Z,2023-10-11T09:53:18.000Z,,,"Notre Client est un Bureau d'Etudes spécialisé sur les lots de charpentes métalliques, à la pointe des matériaux innovants et ayant une volonté de développement éco responsable.  
Son activité ne cesse de se développer, c'est pour cette raison qu'il recherche son futur Ingénieur d'études en Construction Métallique H/F pour son entité Bretonne. 
 
Au sein du Bureau d'Études, vous aurez la responsabilité du dimensionnement de projets de grande ampleur dans le domaine industriel, sur la partie charpente, coffrage et structure métallique (notre expertise !)
Un accompagnement sur mesure et une évolution rapide vous attendent pour vous permettre de gérer les projets de A à Z, d'élaborer les appels d'offres, d'accompagner les clients et diriger vos équipes de dessinateurs et d'opérationnels. 

 	Vous avez une expérience d'au moins deux ans en dimensionnement et calculs sur Charpentes métalliques en bâtiment 
 	Vous maîtrisez un logiciel de calcul (idéalement ROBOT) 
 	Dans l'idéal, vous êtes issu d'une formation CHEC ou CHEM
 	Vous avez envie d'évoluer sur des projets importants 

C'est bien vous ? Notre opportunité vous intéresse et vous souhaitez en savoir plus ? Envoyez votre cv à l 'adresse mentionnée sur l'offre ainsi que vos coordonnées et vos disponibilités (15 minutes) pour échanger par téléphone.

Et en plus ! 
 	Un accompagnement important de votre N+1 vous permettra d'évoluer sur ce poste en moins d'un an 
 	Une ambiance conviviale au sein de l'équipe, un environnement de travail favorable au bien-être des collaborateurs. 
La preuve ? Pas de turnover !
 	Des projets très riches et variés, donc pas de redondance dans vos journées
 	Notre client met l'accent sur l'innovation, si bien que les projets évoluent sans cesse.
 	Le Bureau d'études est vigilant sur l'impact environnemental. 
 	Vous souhaitez bouger à terme ? La mobilité vous permettra de changer de région et de rejoindre une autre entité dans la destination qui vous fait rêver.",39H Travail en journée,Temps plein,"{'nom': 'APPROACH PEOPLE RECRUITMENT', 'description': 'Notre Client est un Bureau d Etudes, référence dans l accompagnement économique et opérationnel des projets de construction sur le territoire français. \nEn plein accroissement de son activité, il recherche un nouvel Economiste de la Construction pour rejoindre son équipe.', 'entrepriseAdaptee': False}",E,2 ans,,163BSTY,Ingénieur d'études en structure métallique    (H/F),56 - MUZILLAC,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTY'}",6,Employé qualifié,F1106,Ingénierie et études du BTP,"Annuel de 50000,00 Euros à 60000,00 Euros sur 12 mois",70,Conseil pour les affaires et autres conseils de gestion,CDI,Contrat à durée indéterminée
Opérateur / Opératrice en plasturgie,78.20Z,"Identifier des non-conformités, Contrôler un moyen de production, Contrôler des flux, Contrôler la qualité et la conformité d'un produit","{'nom': 'COTE JOB - M. PROMAN COTEJOB BOURG', 'coordonnees1': 'https://www.proman-emploi.fr/?job=MP822274&candidature&origine=POLE-EMPLOI-JTMO&utm_source=pole-emploi-jtmo&utm_medium=referral&utm_campaign=annonces-free&utm_term=offre', 'urlPostulation': 'https://www.proman-emploi.fr/?job=MP822274&candidature&origine=POLE-EMPLOI-JTMO&utm_source=pole-emploi-jtmo&utm_medium=referral&utm_campaign=annonces-free&utm_term=offre'}",2023-10-11T09:53:05.000Z,2023-10-11T09:53:04.000Z,,,"Le poste :
Votre agence CôtéJob Bourg en Bresse , recherche pour l'un de ses clients spécialisé dans le domaine de la plasturgie, un Opérateur H/F. Vos missions : - Assurer la production de pièces - Changement des moules selon les commandes - Assemblage de pièces - Contrôle de la qualité des produits - Utilisation d'outils informatiques - Conditionnement Horaires : 2x8 ou Nuit Rémunération : SMIC + Temps de pause + Paniers Poste prévue sur du long terme. Entreprise non desservi par les transports en communs. Ce poste est à pourvoir immédiatement en agence d'emploi.


Profil recherché :
Idéalement vous justifiez d'une première expérience à un poste similaire. 
Tous nos postes sont ouverts aux personnes en situation de handicap.",35H Travail en journée,Temps plein,"{'nom': 'COTE JOB', 'url': 'https://www.proman-emploi.fr/', 'entrepriseAdaptee': False}",S,1 an,,163BSTQ,Operateur plasturgie (H/F),01 - CEYZERIAT,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTQ'}",1,Manœuvre,H3201,Conduite d'équipement de formage des plastiques et caoutchoucs,"Horaire de 11,66 Euros à 11,66 Euros sur 12 mois",78,Activités des agences de travail temporaire,MIS,Mission intérimaire - 3 Mois
Employé polyvalent / Employée polyvalente de libre-service,70.10Z,"Réaliser l'étiquetage de produits, Contrôler le balisage et l'étiquetage des produits en rayon, Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison, Organiser, aménager un espace de vente",{},2023-10-11T09:53:02.000Z,2023-10-11T09:53:00.000Z,,,"VOS MISSIONS :

Rattaché(e) au Responsable de Magasin, vous êtes garant de la bonne application des procédures caisse et participez au bon fonctionnement du point de vente. 

Plus précisément, vos missions sont :
-	L'encaissement des produits.
-	La gestion des caisses et le traitement des espèces.
-	L'approvisionnement les rayons.
-	La mise en place des affiches prix et des actions en cours.
-	La participation à l'inventaire.
-	La préparation du pain et des viennoiseries.
-	La bonne tenue du magasin.

VOTRE PROFIL :

Vous avez le goût du commerce et souhaitez participer à l'aventure NORMA.
Vous êtes une personne dynamique et savez faire preuve de rigueur.
Votre polyvalence est votre force.",30H Travail en journée,Temps partiel,"{'nom': 'NORMA SARL', 'entrepriseAdaptee': False}",E,1 an,Bac ou équivalent,163BSTP,Chef de caisses  - Employé(e) libre service                 (H/F),67 - ECKBOLSHEIM,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTP'}",5,Employé non qualifié,D1507,Mise en rayon libre-service,,70,Activités des sièges sociaux,CDI,Contrat à durée indéterminée
Enquêteur / Enquêtrice au téléphone,71.12B,,"{'nom': 'CNS INSTITUT - Mme Leslie Esnophla', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTM', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTM'}",2023-10-11T09:52:50.000Z,2023-10-11T09:52:48.000Z,,,"CNS Institut est une société d'études de marché international. Une part importante de notre activité concerne l'après-vente et les pièces de rechange automobile. L'expertise de nos collaborateurs en matière de pièces de rechange nous permet de réaliser des analyses de positionnement prix des pièces de rechange au niveau mondial.

Descriptif de poste :

Nous préparons une étude Mystère sur la Norvège. Nous recherchons plusieurs personnes pouvant réaliser des appels téléphoniques simples dans la langue ci-dessous, auprès de professionnels automobiles de ces pays.

Langue parlée: Norvégien à un niveau B2 minimum
Début de la mission : Fin octobre 2023
Durée de la mission : 1 mois
Rémunération : 12,16€ bruts par heure (hors primes de précarité et de congés payés) + panier repas de 4€ par jour travaillé + remboursement au prorata de la carte Navigo

Profil recherché :

Homme/femme de conviction, vous êtes reconnu(e) pour vos qualités relationnelles et votre aisance dans vos échanges par téléphone. Vous savez convaincre et aller au bout des choses.

Vos principales qualités sont :

Aisance relationnelle
Sens de l'écoute
Sens du service
Esprit commercial
Maîtrise des outils de communication : téléphone, mail, internet, Microsoft office
Ponctualité et assiduité
Type d'emploi : Temps plein, CDDU

Salaire : 12,16€ par heure

Avantages :

Participation au transport

Programmation :
Périodes de travail de 7 heures
Travail en journée

Expérience: Enquêteur h/f ou similaire: 1 an (Optionnel)
Lieu du poste : Courbevoie (pas de télétravail possible)",35H Travail en journée,Temps plein,"{'nom': 'CNS INSTITUT', 'description': 'CNS Institut est une société d études de marché international. Une part importante de notre activité concerne l après-vente et les pièces de rechange automobile. L expertise de nos collaborateurs en matière de pièces de rechange nous permet de réaliser des analyses de positionnement prix des pièces de rechange au niveau mondial.', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/2NPXqNOeVUq8tLcUC2f4Mup9fewijobE.png', 'url': 'http://www.cnsinstitut.com/', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BSTM,Enquêteur / Enquêtrice au téléphone langue norvégienne (H/F),92 - COURBEVOIE,Contrat d'usage,3,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTM'}",5,Employé non qualifié,M1401,Conduite d'enquêtes,"Horaire de 12,00 Euros",71,"Ingénierie, études techniques",CDD,Contrat à durée déterminée - 1 Mois
Auxiliaire de vie,81.22Z,"Ergonomie, Effectuer les courses d'une personne, Surveiller l'état de santé d'une personne","{'nom': 'O2 CHALONS - Mme Sylvie DUPONT', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTK', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTK'}",2023-10-11T10:03:34.000Z,2023-10-11T09:52:44.000Z,,,"Pour le secteur de Châlons en champagne et ses alentours, nous recherchons un(e) Auxiliaire de vie (h/f)

Vos missions si vous les acceptez:

- Accompagner nos clients dans les tâches du quotidien;
- Aide à la mobilité;
- Aide à la toilette;
- Aide aux courses, préparation des repas;
- Stimulation au quotidien sur des activités,...

Nous vous proposons:

- un contrat CDI adapté au nombre d?heures que vous souhaitez;
- des missions au plus proche de votre domicile;
- des moments de formation pour vous accompagner dans votre montée en compétences:
- un parcours d'intégration adapté, et un suivi personnalisé avec des moments d'échanges, de partages, des réunions d'équipe;
- une rémunération brute horaire de 11,55€ à 11,95€ (selon profil); des tickets restaurants; une indemnisation de vos déplacements, à hauteur de 0.43€/kilomètre;
- de nombreux avantages: un téléphone professionnel, une mutuelle prise en charge à 50%, des outils et une méthode pour la bonne réalisation de vos prestations;
- primes de participation et d'intéressement; vous disposez d'un jour de repos fixe et d'un week-end sur deux de libre; un CSE vous proposant de nombreux avantages.
Envie d'évolution professionnelle? Des possibilités sont ouvertes vers des postes en agence.

Prêts à commencer une aventure formidable avec nous? A vos marques, prêts, postulez !",35H Travail en journée,Temps plein,"{'nom': 'O2 CHALONS', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/a0c021366c584bb9b029eca93f2c6d8c.png', 'url': 'https://www.o2.fr/', 'entrepriseAdaptee': False}",E,3 ans,Bac ou équivalent,163BSTK,Auxiliaire de vie (H/F),51 - CHALONS EN CHAMPAGNE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BSTK'}",6,Employé qualifié,K1302,Assistance auprès d'adultes,"Horaire de 11,55 Euros à 11,95 Euros sur 12 mois",81,Autres activités de nettoyage des bâtiments et nettoyage industriel,CDI,Contrat à durée indéterminée
