id;intitule;description;dateCreation;dateActualisation;lieuTravail;romeCode;romeLibelle;appellationlibelle;entreprise;typeContrat;typeContratLibelle;natureContrat;experienceExige;experienceLibelle;salaire;dureeTravailLibelle;dureeTravailLibelleConverti;alternance;contact;agence;nombrePostes;accessibleTH;qualificationCode;qualificationLibelle;codeNAF;secteurActivite;secteurActiviteLibelle;qualitesProfessionnelles;origineOffre;competences;deplacementCode;deplacementLibelle;offresManqueCandidats;formations;permis;complementExercice;experienceCommentaire;langues;conditionExercice
163JHCC;Employé(e) de commerce polyvalent(e) (H/F);"Au centre ville de Voiron, dans un commerce à taille humaine, vous serez chargé(e) de disposer et présenter les articles dans les rayons. 
Au sein d'une petite équipe, vous assurez l'information des prix en rayon, effectuez les déplacements de produits entre la réserve et les rayons, sans port de charge trop important. 
Vous veillez à la propreté de la surface de vente.
Vous accueillez les clients, les renseignez et vous assurez la tenue de la caisse (formation possible).
Un accompagnement à la prise de poste est prévu.
Les profils débutants très motivés sont acceptés, une première expérience est la bienvenue.
 
Établissement ouvert du lundi au samedi 7h-21h et le dimanche 9h-13h, Vous travaillerez par roulement.";2023-10-16 14:28:07;2023-10-16 14:28:07;{'libelle': '38 - VOIRON', 'latitude': 45.378051, 'longitude': 5.585446, 'codePostal': '38500', 'commune': '38563'};D1507;Mise en rayon libre-service;Employé / Employée de libre-service;{'nom': 'CARREFOUR CITY', 'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;Débutant accepté;{'libelle': 'Mensuel de 1813,06 Euros sur 12 mois'};35H Travail en horaires fractionnés;Temps plein;False;{'nom': 'Pôle Emploi CENTRE-ISERE', 'coordonnees1': '93 BD FRANKLIN ROOSEVELT', 'coordonnees2': '38500 VOIRON', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHCC'};{'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHCC'};1;False;5;Employé non qualifié;47.11D;47;Supermarchés;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JHCC'};;;;True;;;;;;
163JHCB;Intervenant(e) ménage/repassage référent(e) remplaçant(e) véhicule fourni (H/F);"Vous avez envie d?être utile aux autres ? Vous aimez entretenir un logement ou vous occuper du linge ? Et vous aimez que tout soit propre et net ? Vous aimez changer régulièrement de cadre de travail ? Devenez notre équipier(e) mobile en ménage/repassage pour notre agence de Lille Ouest. 

Disposant d?une voiture de service, vous interviendrez principalement en remplacement de vos collègues et sur des missions ponctuelles sur Haubourdin, Wavrin et La Bassée. 

Vous voulez mettre à profit votre sens du service et développer vos compétences ? Devenez un(e) professionnel(le) des services à la personne avec O2.

Avec 360 agences en France et plus de 25 ans d?expérience, O2 est le numéro un des services à la personne en France. Engagés au quotidien, nous sommes convaincus que la qualité de l?environnement de travail de nos collaborateurs est essentielle pour leur permettre d?exprimer leurs talents. 

Parce que chacun mérite de l?attention, en rejoignant O2 vous bénéficierez : 

? grâce à l?entendue de notre réseau, d?un emploi proche de chez vous, 

? d?un planning adapté à vos disponibilités,

? d?un téléphone mobile avec une ligne téléphone dédiée

? de la mise à disposition d?un véhicule de service dans le cadre de vos missions, 

? de compléments de rémunération : intéressement/participation,

? d?une mutuelle pouvant couvrir l?ensemble de votre famille

? de formations pour renforcer vos acquis et gagner en professionnalisme, 

? des perspectives d?évolution au sein du réseau O2.

Nous vous remettrons l'ensemble des équipements vous permettant d'intervenir en toute sécurité au domicile des clients.

***Ce poste ne nécessite pas la présentation d?un pass sanitaire.***

- De l?expérience ou un diplôme dans le domaine de l?entretien professionnel est un plus
- Vous devez pouvoir vous déplacer chez les clients s?ils ne sont pas desservis par les transports en commun";2023-10-16 14:27:58;2023-10-16 14:28:00;{'libelle': '59 - SAINGHIN EN WEPPES', 'latitude': 50.561011, 'longitude': 2.901898, 'codePostal': '59184', 'commune': '59524'};K1304;Services domestiques;Aide ménager / ménagère à domicile;{'nom': 'O2 LILLE OUEST', 'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;Débutant accepté;{'commentaire': 'Selon profil', 'complement1': 'Autre'};24H Travail en journée;Temps partiel;False;{'coordonnees1': 'https://emploi.o2recrute.fr/fr/annonce/2599169-intervenante-menagerepassage-referente-remplacante-vehicule-fourni-59184-sainghin-en-weppes?s_o=P%C3%B4le+emploi+JTMO&s_b=DigitalRecruiters', 'urlPostulation': 'https://emploi.o2recrute.fr/fr/annonce/2599169-intervenante-menagerepassage-referente-remplacante-vehicule-fourni-59184-sainghin-en-weppes?s_o=P%C3%B4le+emploi+JTMO&s_b=DigitalRecruiters'};;1;False;6;Employé qualifié;81.21Z;81;Nettoyage courant des bâtiments;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JHCB'};"[{'code': '102096', 'libelle': ""Règles d'hygiène et de propreté"", 'exigence': 'S'}, {'code': '107948', 'libelle': 'Dépoussiérer les sols, les tapis, les meubles, les objets et aérer, désodoriser les pièces', 'exigence': 'S'}, {'code': '116932', 'libelle': ""Contrôler l'état des stocks"", 'exigence': 'S'}, {'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}]";;;False;;;;;;
163JHBZ;Technicien / Technicienne génie civil (H/F);"Vous rejoindrez le service Diagnostic Pathologie Structure. Sous la direction d'un ingénieur structure, le poste est composé d'une partie au bureau phase de préparation, mise au propre, gestion du matériel ) et d'une autre partie d'intervention sur site (réalisation de sondages, de prélèvement,
pose de capteur ).
Les missions seront les suivantes :
- Préparation de fonds de plans, Préparation du matériel, des commandes,
- Réalisation des investigations,
- Relevé géométrique et relevé de constitution de la structure y compris désordres,
- Réalisation de sondages destructifs au marteau perforateur et par carottages,
- Réalisation d'auscultations par méthodes non destructives (Ferroscan, radar, etc.),
- Préparation des échantillons pour envoi au laboratoire,
- Réalisation de plans Autocad 2D pour présenter les résultats de mission, et compte rendu
- Gestion du matériel (stock, approvisionnement ),
Il est essentiel d'avoir une bonne aptitude au travail manuel en équipe dans les conditions de chantier.Travailler en hauteur.  CACES nacelle apprécié";2023-10-16 14:27:56;2023-10-16 14:28:42;{'libelle': '13 - SALON DE PROVENCE', 'latitude': 43.6377, 'longitude': 5.062036, 'codePostal': '13300', 'commune': '13103'};F1106;Ingénierie et études du BTP;Technicien / Technicienne d'études BTP;{'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;1 an;{'libelle': 'Mensuel de 2200,00 Euros à 3000,00 Euros sur 12 mois', 'complement1': 'Mobile', 'complement2': 'Pc portable'};35H Travail en horaires fractionnés;Temps plein;False;{'nom': 'Pôle Emploi SALON DE PROVENCE', 'coordonnees1': 'PARC DES MAGISTERS ZA LA GANDONNE 246 RUE DES CANESTEU', 'coordonnees2': '13300 SALON DE PROVENCE', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBZ'};{'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBZ'};1;False;8;Agent de maîtrise;71.12B;71;Ingénierie, études techniques;"[{'libelle': ""S'adapter aux changements"", 'description': ""Capacité à s'adapter à des situations variées, à réagir à l'imprévu, gérer l'incertitude pour s'ajuster à des organisations, des collectifs de travail, des habitudes, des valeurs propres à l'entreprise.""}, {'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBZ'};"[{'code': '103204', 'libelle': 'Caractéristiques du béton armé', 'exigence': 'E'}, {'code': '103208', 'libelle': 'Travaux publics, génie civil', 'exigence': 'E'}, {'code': '118828', 'libelle': 'Technologie du bâtiment', 'exigence': 'E'}, {'code': '119604', 'libelle': 'Calcul technique', 'exigence': 'S'}, {'code': '119672', 'libelle': 'Conception et Dessin Assistés par Ordinateur (CAO/DAO)', 'exigence': 'S'}, {'code': '400901', 'libelle': ""Plans d'exécution"", 'exigence': 'S'}, {'code': '118639', 'libelle': ""Analyser les données d'une étude, d'un projet"", 'exigence': 'S'}, {'code': '300069', 'libelle': 'Créer un dessin technique, un plan, ou une carte', 'exigence': 'E'}, {'code': '300124', 'libelle': 'Comprendre, interpréter des données et documents techniques', 'exigence': 'E'}, {'code': '300308', 'libelle': ""Estimer les coûts et les délais d'une activité ou d'une prestation"", 'exigence': 'E'}, {'code': '300315', 'libelle': 'Identifier et sélectionner des fournisseurs, sous-traitants, prestataires', 'exigence': 'S'}, {'code': '300446', 'libelle': 'Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE)', 'exigence': 'E'}, {'code': '300452', 'libelle': 'Collecter et analyser des informations', 'exigence': 'S'}]";3;Fréquents Zone régionale;False;[{'codeFormation': '22024', 'domaineLibelle': 'génie civil', 'niveauLibelle': 'Bac+2 ou équivalents', 'exigence': 'E'}];[{'libelle': 'B - Véhicule léger', 'exigence': 'E'}];;;[{'libelle': 'Anglais', 'exigence': 'S'}, {'libelle': 'Français', 'exigence': 'E'}];
163JHBX;Employé / Employée de ménage;"Au sein du domicile d'un particulier, vous effectuez les tâches ménagères classiques :
- poussières
- sol
- entretien sanitaires / salle de bain
- repassage

Paiement CESU";2023-10-16 14:27:52;2023-10-16 14:27:52;{'libelle': '86 - FONTAINE LE COMTE', 'latitude': 46.532284, 'longitude': 0.254135, 'codePostal': '86240', 'commune': '86100'};K1304;Services domestiques;Employé / Employée de ménage;{'nom': 'MME Julie Desebordes', 'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;1 an;{'libelle': 'Horaire de 12 Euros'};3H Travail en journée;Temps partiel;False;{};;1;False;6;Employé qualifié;97.00Z;97;Activités des ménages en tant qu'employeurs de personnel domestique;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBX'};;;;True;;;;;;
163JHBW;Agent(e) technique polyvalent(e) - électricien(ne) (H/F);"Agent(e) technique polyvalent(e) - électricien(ne)
Unité Technique d'EVRON - service bâtiment 

La Communauté de Communes des Coëvrons, recrute un(e) agent électricien ou électricienne au service bâtiment de l'unité d'Evron.

Missions : SERVICE BATIMENT 
-	Travaux sur les installations électriques du patrimoine bâti de la Communauté de communes des Coëvrons et de la commune d'Evron.
-	Travaux sur les installations de réseaux informatiques
-	Dépannage sur les installations électriques et réseaux informatiques.
-	Lever des observations électriques suite aux contrôles périodiques
-	Entretien divers du patrimoine bâti.
-	Astreinte technique obligatoire environ une tous les deux mois
-	Participer à l'installation du matériel lors des festivités.

 	
Profil demandé :
-	Etre titulaire d'un BEP/CAP et/ou Bac professionnel ou niveau équivalent
-	Permis B obligatoire,
-	Habilitation électrique
-	CACES R. 486 nacelle recommandé
-	Avoir le sens des responsabilités, 
-	Connaissance des matériaux et utilisation du matériel en toute sécurité,
-	Capacité à travailler en équipe,
-	Avoir le respect des échéances,
-	Etre rigoureux,
-	Connaître les règles d'hygiène et de sécurité au travail
-	Savoir gérer les priorités.
-	S'adapter aux différentes situations et à l'évolution du métier,
-	Faire des propositions d'amélioration à son encadrement et/ou proposer des innovations dans l'optique d'une recherche de qualité
-	Actualiser ses connaissances, capitaliser les expériences pour s'adapter aux évolutions du métier et de ses techniques.";2023-10-16 14:27:49;2023-10-16 14:27:51;{'libelle': '53 - EVRON', 'latitude': 48.14689, 'longitude': -0.415423, 'codePostal': '53600', 'commune': '53097'};F1602;Électricité bâtiment;Électricien / Électricienne bâtiment tertiaire;{'nom': 'COMMUNAUTE DE COMMUNES DES COEVRONS', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/P3ORC2r0U9X8UbEi8EiZDJ66YqmgAh15.png', 'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;Débutant accepté;{'libelle': 'Mensuel de 1900,00 Euros sur 12 mois', 'complement1': 'Chèque repas'};35H Travail en journée;Temps plein;False;{'nom': 'COMMUNAUTE DE COMMUNES DES COEVRONS - Mme Betty LELONG', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBW', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBW'};;1;False;6;Employé qualifié;84.11Z;84;Administration publique générale;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBW'};;;;False;;;;;;
163JHBV;Agent de fabrication / cariste (H/F);"Nous recherchons un agent de fabrication / cariste, vous avez pour missions :

 - d'assurer les opérations de la production : ensachage, liage, conduite d'engins 
 - de conduire les engins liés à la production en respectant les consignes de sécurité tout en assurant leurs entretiens
 - d'être responsable de la qualité et du comptage des big-bags de son périmètre : mélangeuse, conditionnement 
 - de participer au nettoyage de l'usine avec l'équipe 

Le CACES R-489 3 (chariot élévateur de moins de 6 tonnes) est indispensable.
Les CACES R-489 4 (chariot élévateur de plus de 6 tonnes), R-482 C1 (chargeuse) et R-486 B (nacelle multidirectionnelle) sont un plus.

Vous travaillez du lundi au vendredi de 8h à 12h30 et de 14h à 16h30.";2023-10-16 14:27:46;2023-10-16 14:27:46;{'libelle': '35 - L HERMITAGE', 'latitude': 48.124355, 'longitude': -1.817384, 'codePostal': '35590', 'commune': '35131'};N1101;Conduite d'engins de déplacement des charges;Cariste manutentionnaire;{'nom': 'FERTIBERIA FRANCE', 'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;Débutant accepté;{'libelle': 'Mensuel de 2000 Euros sur 12 mois', 'complement1': 'Chèque repas', 'complement2': 'Mutuelle'};35H Travail en journée;Temps plein;False;{'nom': 'Pôle Emploi RENNES OUEST', 'coordonnees1': 'PARC MONIER  BATIMENT LE BYBLOS 167 ROUTE DE LORIENT', 'coordonnees2': '35000 RENNES', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBV'};{'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBV'};1;False;1;Manœuvre;46.75Z;46;Commerce de gros (commerce interentreprises) de produits chimiques;"[{'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}, {'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBV'};[{'code': '123698', 'libelle': 'Chariots élévateurs en porte-à-faux de capacité inférieure ou égale à 6000 kg (CACES R 389-3)', 'exigence': 'E'}, {'code': '200061', 'libelle': 'PEMP du groupe B (CACES R 486-B) - Depuis le 01/01/2020', 'exigence': 'S'}, {'code': '200073', 'libelle': 'Chariots frontaux en porte-à-faux (capacité nominale > 6 tonnes) (CACES R 489-4) - Depuis le 01/01/2020', 'exigence': 'S'}, {'code': '300206', 'libelle': 'Collecter des produits, des matériaux, des matières premières', 'exigence': 'E'}, {'code': '300216', 'libelle': 'Manipuler des produits dangereux ou fragiles', 'exigence': 'E'}, {'code': '300264', 'libelle': 'Manipuler un engin de manutention ou de chantier', 'exigence': 'E'}, {'code': '300265', 'libelle': 'Charger, décharger, manutentionner des produits', 'exigence': 'E'}, {'code': '300268', 'libelle': 'Conditionner des produits', 'exigence': 'E'}, {'libelle': 'Caces R-489 3', 'exigence': 'E'}];1;Jamais;True;;;;;;
163JHBT;Assistant ADV (H/F);"Défi RH, cabinet de recrutement spécialisé dans l'emploi des Travailleurs Handicapés recherche, pour l'un de nos clients, spécialisé dans la résidence urbaine, un(e) :

Assistant ADV (H/F)

Au sein du service commercial, vos missions principales sont les suivantes :

-	Traiter les appels des propriétaires et prospects,
-	Préparer les dossiers de réservations,
-	Procéder aux relances de pièces auprès des clients,
-	Gérer le financement client,
-	Assurer un suivi pour chaque vente en cours,
-	Réaliser des reportings d'activité.

Notre cabinet de recrutement est dédié à l'emploi des travailleurs handicapés. 

Diplômé(e) d'un Bac+2, vous disposez d'une première expérience réussie sur un poste similaire, idéalement au sein d'un groupe immobilier. La maîtrise du Pack Office est nécessaire sur ce poste.

Souriant(e) et organisé(e), vous disposez d'excellentes capacités rédactionnelles et relationnelles. Vous avez le sens du service et vous appréciez travailler en équipe.

Pour postuler, merci de nous envoyer CV, lettre de motivation sous la Réf.3665 sur notre site internet : www.defirh.fr, rubrique « candidats ».
te internet : www.defirh.fr, rubrique « candidats ».";2023-10-16 14:27:45;2023-10-16 14:28:25;{'libelle': '75 - PARIS 08', 'latitude': 48.873707, 'longitude': 2.3116, 'codePostal': '75008', 'commune': '75108'};D1401;Assistanat commercial;Assistant / Assistante administration des ventes;"{'nom': 'DEFI RH', 'description': ""Défi RH, cabinet de recrutement dédié à l'emploi des Travailleurs Handicapés"", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/XEwWpsgGwgO1rXcxd4etgYVDEqWvvBoo.png', 'url': 'http://www.defirh.fr/offres', 'entrepriseAdaptee': False}";CDI;Contrat à durée indéterminée;Contrat travail;True;1 an;{'commentaire': 'selon profil', 'complement1': 'Autre'};37H Travail en journée;Temps plein;False;{'nom': 'DEFI RH - Mme Pauline Granier', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBT', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBT'};;1;False;6;Employé qualifié;78.30Z;78;Autre mise à disposition de ressources humaines;"[{'libelle': 'Organiser son travail selon les priorités et les objectifs', 'description': 'Capacité à planifier, prioriser, anticiper des actions, en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser.'}, {'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBT'};;;;False;[{'niveauLibelle': 'Bac+2 ou équivalents', 'exigence': 'E'}];;;;;
163JHBS;Éducateur / Éducatrice de jeunes enfants;"Notre crèche collective recherche un éducateur de jeunes enfants, H/F dont les missions sont d'accueillir l'enfant et sa famille.
-Vous organisez et garantissez un accueil de qualité en cohérence avec le projet pédagogique de la structure.
-Vous définissez et mettez en place des actions contribuant à l'éveil et au développement global des enfants dans un projet d'équipe.
-Vous encadrez le personnel Auxiliaire de Puériculture de votre section sous l'autorité du responsable de la crèche.";2023-10-16 14:27:34;2023-10-16 14:33:35;{'libelle': '76 - OCTEVILLE SUR MER', 'latitude': 49.558463, 'longitude': 0.121508, 'codePostal': '76930', 'commune': '76481'};K1202;Éducation de jeunes enfants;Éducateur / Éducatrice de jeunes enfants;{'nom': 'POLE EMPLOI VILLE HAUTE', 'entrepriseAdaptee': False};CDD;Contrat à durée déterminée - 9 Mois;Contrat travail;True;Débutant accepté;{'libelle': 'Mensuel de 1856,40 Euros sur 12 mois'};35H Travail en journée;Temps plein;False;{'nom': 'Pôle Emploi LE HAVRE VILLE HAUTE', 'coordonnees1': 'CS 70881 20 RUE Leon Peulevey', 'coordonnees2': '76620 LE HAVRE', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBS'};{'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBS'};1;False;6;Employé qualifié;88.91A;88;Accueil de jeunes enfants;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBS'};"[{'code': '107371', 'libelle': ""Accompagner l'enfant dans l'apprentissage des gestes de la vie quotidienne et des règles de vie en collectivité"", 'exigence': 'S'}, {'code': '107372', 'libelle': ""Aménager le lieu de vie, d'accueil des enfants et vérifier la sécurité des équipements"", 'exigence': 'S'}, {'code': '107848', 'libelle': ""Organiser et animer des activités ludiques et d'éveil"", 'exigence': 'S'}, {'code': '121801', 'libelle': 'Concevoir un projet éducatif', 'exigence': 'S'}]";;;False;[{'codeFormation': '44050', 'domaineLibelle': 'éducateur jeune enfant', 'niveauLibelle': 'Bac+3, Bac+4 ou équivalents', 'commentaire': 'DEEJE', 'exigence': 'E'}, {'codeFormation': '44092', 'domaineLibelle': 'éducateur spécialisé', 'niveauLibelle': 'Bac+3, Bac+4 ou équivalents', 'commentaire': 'Avec expérience en petite enfance', 'exigence': 'E'}];;;;;
163JHBR;Aide à domicile   (H/F);"Vous aurez en charge d'effectuer les tâches suivantes auprès de personnes âgées, handicapées et/ou en perte d'autonomie à leur domicile : 
- ménage, entretien du linge,
- courses,
- préparation et aide au repas,
- accompagnement social.

Possibilité de travail le dimanche (1 sur 2 maximum), 2 jours de repos hebdomadaires.

Permis B et véhicule exigés, déplacements auprès des bénéficiaires 15 kilomètres autour de Nîmes.

Contrat renouvelable.";2023-10-16 14:27:31;2023-10-16 14:27:31;{'libelle': '30 - NIMES', 'latitude': 43.814652, 'longitude': 4.356289, 'codePostal': '30000', 'commune': '30189'};K1304;Services domestiques;Aide à domicile;"{'nom': 'CENT CHATEAU SILHOL', 'description': ""L'association Mandataire et Prestataire du Château Silhol gère un service d'aide et d'accompagnement à domicile et un service d'insertion par l'activité économique. C'est un service à taille humaine, certifié AFNOR, qui accompagne des personnes âgées et handicapées depuis 1989."", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/mt14IhryfJgoSS7h26lluIcOBPn8Zox0.png', 'url': 'http://www.chateau-silhol.fr', 'entrepriseAdaptee': False}";CDD;Contrat à durée déterminée - 2 Mois;Contrat travail;True;Débutant accepté;{'libelle': 'Horaire de 11,52 Euros à 12,75 Euros sur 12 mois', 'complement1': 'CE'};24H Travail en journée;Temps partiel;False;{'nom': 'CENT CHATEAU SILHOL - M. olivier delrieu', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBR', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBR'};;1;False;6;Employé qualifié;88.10A;88;Aide à domicile;"[{'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': 'Gérer son stress', 'description': 'Capacité à garder le contrôle de soi pour agir efficacement face à des situations irritantes, imprévues, stressantes.'}, {'libelle': ""Être à l'écoute, faire preuve d'empathie"", 'description': ""Capacité à écouter activement, réceptionner des informations et messages, faire preuve d'ouverture d'esprit et de diplomatie.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBR'};"[{'code': '102096', 'libelle': ""Règles d'hygiène et de propreté"", 'exigence': 'S'}, {'code': '107662', 'libelle': 'Accompagner une personne dans les gestes de la vie quotidienne', 'exigence': 'S'}, {'code': '107948', 'libelle': 'Dépoussiérer les sols, les tapis, les meubles, les objets et aérer, désodoriser les pièces', 'exigence': 'S'}, {'code': '120699', 'libelle': 'Entretenir le linge', 'exigence': 'S'}, {'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}]";4;Quotidiens Zone départementale;True;[{'codeFormation': '42056', 'domaineLibelle': 'service à la personne', 'niveauLibelle': 'CAP, BEP et équivalents', 'exigence': 'S'}, {'codeFormation': '44028', 'domaineLibelle': 'auxiliaire vie sociale', 'niveauLibelle': 'Bac ou équivalent', 'exigence': 'S'}];[{'libelle': 'B - Véhicule léger', 'exigence': 'E'}];;;;
163JHBQ;Chauffeur PL Grue auxiliaire (H/F);"Nous recrutons pour l'un de nos clients, spécialisés dans le domaine du Transport depuis plus de 50 ans, un Chauffeur PL grue auxiliaire (H/F)
Vos missions :
Approvisionnements ou enlèvements de matières première sur les chantiers de travaux publics avec manipulation en toute sécurité de la grue tout en veillant au personnel au sol
                Rigoureux et soucieux du travail bien fait
Expérience de deux années sur la conduite de grue auxiliaire
Respect du matériel confié et du code de la route";2023-10-16 14:27:28;2023-10-16 14:27:30;{'libelle': '57 - FLORANGE', 'latitude': 49.325254, 'longitude': 6.128166, 'codePostal': '57190', 'commune': '57221'};N4101;Conduite de transport de marchandises sur longue distance;Chauffeur / Chauffeuse de poids lourd;{'nom': 'AL INTERIM HAGONDANGE', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/jnvueCNzJu3k69esgLqnNscczZxAMIXK.png', 'entrepriseAdaptee': False};MIS;Mission intérimaire - 18 Mois;Contrat travail;True;Débutant accepté;{'libelle': 'Horaire de 12,33 Euros sur 12 mois'};39H Travail en journée;Temps plein;False;{'nom': 'AL INTERIM HAGONDANGE - M. Quentin LINDEN', 'coordonnees1': 'https://www.lipsafari.com/offres-emploi/poste-b16-a131-chauffeur-pl-grue-auxiliaire-160-203703', 'urlPostulation': 'https://www.lipsafari.com/offres-emploi/poste-b16-a131-chauffeur-pl-grue-auxiliaire-160-203703'};;1;False;6;Employé qualifié;78.20Z;78;Activités des agences de travail temporaire;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JHBQ'};"[{'code': '110473', 'libelle': 'Organiser le chargement des marchandises dans le véhicule', 'exigence': 'S'}, {'code': '110474', 'libelle': ""Vérifier l'exactitude et la conformité de documents de transport de marchandises"", 'exigence': 'S'}, {'code': '110527', 'libelle': ""Contrôler l'état de fonctionnement d'un véhicule"", 'exigence': 'S'}, {'code': '120377', 'libelle': ""Réaliser les opérations d'attelage"", 'exigence': 'S'}, {'code': '124795', 'libelle': 'Définir un itinéraire en fonction des consignes de livraison', 'exigence': 'S'}]";;;False;;;;;;
